Entity,Code,Year,Historical and more recent literacy estimates
Upper-middle-income countries,0,1993,8.408.188
Western and Central Africa (WB),0,1993,4.600.217
World,OWID_WRL,1993,7.605.962
Arab World (WB),0,1994,5.844.878
Central Europe and the Baltics (WB),0,1994,9.856.429
East Asia and the Pacific (WB),0,1994,832.462
Ethiopia,ETH,1994,2.701.135
Europe and Central Asia (WB),0,1994,957.228
Guatemala,GTM,1994,6.421.164
Hungary,HUN,1994,9.898.207
Latin America and Caribbean (WB),0,1994,8.682.307
Liberia,LBR,1994,4.266.605
Libya,LBY,1994,76.5
Low-income countries,0,1994,4.847.019
Lower-middle-income countries,0,1994,5.799.136
Middle East and North Africa (WB),0,1994,6.219.767
Morocco,MAR,1994,4.159.411
Nicaragua,NIC,1994,66
North Macedonia,MKD,1994,9.405.875
Palau,PLW,1994,944.333
Philippines,PHL,1994,9.391.597
Poland,POL,1994,9.940.237
Seychelles,SYC,1994,8.781.115
South Asia (WB),0,1994,4.884.938
Southern and Eastern Africa (WB),0,1994,5.952.685
Sub-Saharan Africa (WB),0,1994,544.332
Tunisia,TUN,1994,5.906.181
Upper-middle-income countries,0,1994,8.456.281
Vanuatu,VUT,1994,68.7
Western and Central Africa (WB),0,1994,4.686.951
World,OWID_WRL,1994,7.646.277
Yemen,YEM,1994,37.09
Arab World (WB),0,1995,5.959.429
Central Europe and the Baltics (WB),0,1995,9.861.207
East Asia and the Pacific (WB),0,1995,8.379.772
Europe and Central Asia (WB),0,1995,9.585.668
Kuwait,KWT,1995,783.955
Laos,LAO,1995,6.025.133
Latin America and Caribbean (WB),0,1995,8.740.622
Low-income countries,0,1995,4.868.699
Lower-middle-income countries,0,1995,5.878.256
Maldives,MDV,1995,963.265
Malta,MLT,1995,878.687
Middle East and North Africa (WB),0,1995,6.381.457
Nicaragua,NIC,1995,67
South Asia (WB),0,1995,4.964.048
Southern and Eastern Africa (WB),0,1995,5.992.194
Sub-Saharan Africa (WB),0,1995,5.472.776
Turkmenistan,TKM,1995,9.877.832
Upper-middle-income countries,0,1995,8.504.725
Western and Central Africa (WB),0,1995,4.701.763
World,OWID_WRL,1995,7.686.894
Arab World (WB),0,1996,6.088.104
Burkina Faso,BFA,1996,1.284.817
Colombia,COL,1996,9.120.716
East Asia and the Pacific (WB),0,1996,8.429.004
Egypt,EGY,1996,55.587
Europe and Central Asia (WB),0,1996,9.601.994
Guinea,GIN,1996,2.055.375
Iran,IRN,1996,7.306.025
Latin America and Caribbean (WB),0,1996,8.772.445
Low-income countries,0,1996,4.901.804
Lower-middle-income countries,0,1996,5.954.242
Middle East and North Africa (WB),0,1996,6.512.471
New Caledonia,NCL,1996,9.613.792
Nicaragua,NIC,1996,67
South Africa,ZAF,1996,824.021
South Asia (WB),0,1996,504.492
Southern and Eastern Africa (WB),0,1996,6.043.493
Sub-Saharan Africa (WB),0,1996,5.534.565
Tonga,TON,1996,9.890.537
Upper-middle-income countries,0,1996,8.550.188
Uruguay,URY,1996,9.678.181
Western and Central Africa (WB),0,1996,4.780.645
World,OWID_WRL,1996,7.725.817
Arab World (WB),0,1997,6.182.833
East Asia and the Pacific (WB),0,1997,8.927.749
Europe and Central Asia (WB),0,1997,9.614.668
Latin America and Caribbean (WB),0,1997,8.804.447
Low-income countries,0,1997,4.968.811
Lower-middle-income countries,0,1997,6.026.108
Middle East and North Africa (WB),0,1997,6.604.063
Mozambique,MOZ,1997,3.870.788
Nicaragua,NIC,1997,67
Palestine,PSE,1997,8.607.696
Qatar,QAT,1997,8.326.216
South Asia (WB),0,1997,5.126.017
Southern and Eastern Africa (WB),0,1997,6.117.406
Sub-Saharan Africa (WB),0,1997,5.619.275
Upper-middle-income countries,0,1997,8.981.379
Western and Central Africa (WB),0,1997,4.882.888
World,OWID_WRL,1997,7.924.868
Arab World (WB),0,1998,6.303.689
Cambodia,KHM,1998,6.733.503
Cote d'Ivoire,CIV,1998,3.635.024
East Asia and the Pacific (WB),0,1998,8.964.008
Europe and Central Asia (WB),0,1998,962.917
Latin America and Caribbean (WB),0,1998,8.839.904
Low-income countries,0,1998,5.038.674
Lower-middle-income countries,0,1998,6.348.546
Malawi,MWI,1998,6.413.425
Mali,MLI,1998,1.904.497
Middle East and North Africa (WB),0,1998,6.725.558
Nicaragua,NIC,1998,68
Pakistan,PAK,1998,4.269.931
South Asia (WB),0,1998,5.610.294
Southern and Eastern Africa (WB),0,1998,6.140.871
Sub-Saharan Africa (WB),0,1998,5.686.825
Upper-middle-income countries,0,1998,9.020.424
Western and Central Africa (WB),0,1998,5.017.558
World,OWID_WRL,1998,8.043.393
Arab World (WB),0,1999,6.411.116
Azerbaijan,AZE,1999,987.918
Belarus,BLR,1999,9.959.073
East Asia and the Pacific (WB),0,1999,8.996.095
Europe and Central Asia (WB),0,1999,9.640.454
Jamaica,JAM,1999,7.992.012
Kazakhstan,KAZ,1999,9.951.266
Kyrgyzstan,KGZ,1999,9.870.161
Latin America and Caribbean (WB),0,1999,8.870.349
Low-income countries,0,1999,5.095.138
Lower-middle-income countries,0,1999,6.418.974
Middle East and North Africa (WB),0,1999,6.835.577
Nicaragua,NIC,1999,68
Solomon Islands,SLB,1999,76.6
South Asia (WB),0,1999,5.687.631
Southern and Eastern Africa (WB),0,1999,6.225.842
Sub-Saharan Africa (WB),0,1999,5.772.549
Upper-middle-income countries,0,1999,905.234
Vanuatu,VUT,1999,74
Vietnam,VNM,1999,902.783
Western and Central Africa (WB),0,1999,5.105.166
World,OWID_WRL,1999,807.684
Zambia,ZMB,1999,6.800.179
Arab World,0,2000,66.006.065
Arab World (WB),0,2000,648.063
Aruba,ABW,2000,9.729.125
Bosnia and Herzegovina,BIH,2000,966.631
Brazil,BRA,2000,8.636.788
Burundi,BDI,2000,5.930.362
Cameroon,CMR,2000,6.840.916
Cape Verde,CPV,2000,7.611.044
Caribbean small states,0,2000,881.378
Central African Republic,CAF,2000,5.064.517
Central Europe and the Baltics,0,2000,9.896.019
Chad,TCD,2000,2.565.421
China,CHN,2000,9.092.021
Comoros,COM,2000,6.848.923
Costa Rica,CRI,2000,9.486.819
Cote d'Ivoire,CIV,2000,4.874.076
Early-demographic dividend,0,2000,6.911.661
East Asia & Pacific,0,2000,9.161.869
East Asia & Pacific (IDA & IBRD),0,2000,90.649.956
East Asia & Pacific (excluding high income),0,2000,9.077.303
East Asia and the Pacific (WB),0,2000,9.024.882
Equatorial Guinea,GNQ,2000,883.083
Estonia,EST,2000,997.672
Eswatini,SWZ,2000,816.607
Europe & Central Asia,0,2000,9.814.584
Europe & Central Asia (IDA & IBRD),0,2000,97.452.644
Europe & Central Asia (excluding high income),0,2000,9.721.841
Europe and Central Asia (WB),0,2000,9.649.407
Finland,FIN,2000,100
Fragile and conflict affected situations,0,2000,63.947.193
Gambia,GMB,2000,3.681.773
Ghana,GHA,2000,5.789.747
Guam,GUM,2000,99.56
Guinea-Bissau,GNB,2000,4.135.777
Heavily indebted poor countries (HIPC),0,2000,52.221.073
IBRD only,0,2000,82.563.576
IDA & IBRD total,0,2000,7.790.584
IDA only,0,2000,554.478
IDA total,0,2000,59.467.594
Iraq,IRQ,2000,740.522
Kenya,KEN,2000,8.222.908
Laos,LAO,2000,6.958.312
Late-demographic dividend,0,2000,91.466.995
Latin America & Caribbean,0,2000,8.973.644
Latin America & Caribbean (IDA & IBRD),0,2000,8.947.367
Latin America & Caribbean (excluding high income),0,2000,8.945.039
Latin America and Caribbean (WB),0,2000,88.956
Latvia,LVA,2000,9.974.657
Least developed countries: UN classification,0,2000,534.134
Lesotho,LSO,2000,8.625.443
Low income,0,2000,5.269.497
Low-income countries,0,2000,5.108.766
Lower middle income,0,2000,673.316
Lower-middle-income countries,0,2000,6.436.212
Luxembourg,LUX,2000,100
Madagascar,MDG,2000,7.068.617
Malaysia,MYS,2000,8.868.776
Maldives,MDV,2000,963.265
Mauritania,MRT,2000,5.120.768
Mauritius,MUS,2000,8.430.309
Mexico,MEX,2000,9.053.562
Middle East & North Africa,0,2000,7.040.315
Middle East & North Africa (IDA & IBRD),0,2000,6.776.973
Middle East & North Africa (excluding high income),0,2000,68.023.575
Middle East and North Africa (WB),0,2000,6.923.674
Middle income,0,2000,7.970.074
Moldova,MDA,2000,966.538
Mongolia,MNG,2000,9.776.885
Myanmar,MMR,2000,8.994.176
Nicaragua,NIC,2000,66
Other small states,0,2000,78.839.775
Pacific island small states,0,2000,86.692.055
Panama,PAN,2000,9.189.962
Papua New Guinea,PNG,2000,5.734.326
Philippines,PHL,2000,9.260.006
Pre-demographic dividend,0,2000,55.785.202
Rwanda,RWA,2000,648.886
Saudi Arabia,SAU,2000,7.935.094
Singapore,SGP,2000,925.494
Small states,0,2000,8.147.796
South Asia,0,2000,5.808.542
South Asia (IDA & IBRD),0,2000,5.808.542
South Asia (WB),0,2000,5.765.058
Southern and Eastern Africa (WB),0,2000,6.249.518
Sub-Saharan Africa,0,2000,56.981.934
Sub-Saharan Africa (IDA & IBRD),0,2000,56.981.934
Sub-Saharan Africa (WB),0,2000,5.625.376
Sub-Saharan Africa (excluding high income),0,2000,56.976.406
Sudan,SDN,2000,6.134.587
Tajikistan,TJK,2000,9.945.068
Thailand,THA,2000,9.264.654
Togo,TGO,2000,531.776
Trinidad and Tobago,TTO,2000,97.9
Upper middle income,0,2000,9.065.731
Upper-middle-income countries,0,2000,908.407
Uzbekistan,UZB,2000,9.864.258
Vietnam,VNM,2000,9.015.613
Western and Central Africa (WB),0,2000,4.705.716
World,OWID_WRL,2000,8.087.452
Albania,ALB,2001,9.871.298
Angola,AGO,2001,6.740.542
Antigua and Barbuda,ATG,2001,98.95
Arab World (WB),0,2001,6.624.235
Argentina,ARG,2001,9.719.331
Armenia,ARM,2001,9.940.016
Bahrain,BHR,2001,8.654.874
Bangladesh,BGD,2001,474.855
Belize,BLZ,2001,80.9
Bolivia,BOL,2001,8.672.367
Brunei,BRN,2001,9.267.113
Bulgaria,BGR,2001,9.820.356
Croatia,HRV,2001,9.814.668
Cyprus,CYP,2001,9.680.363
Democratic Republic of Congo,COD,2001,6.717.299
East Asia and the Pacific (WB),0,2001,9.064.381
East Timor,TLS,2001,37.6
Ecuador,ECU,2001,9.098.403
Europe and Central Asia (WB),0,2001,965.861
Greece,GRC,2001,9.599.436
Greenland,GRL,2001,100
Honduras,HND,2001,8.001.103
India,IND,2001,6.101.456
Italy,ITA,2001,9.841.662
Laos,LAO,2001,6.873.439
Latin America and Caribbean (WB),0,2001,8.914.797
Lithuania,LTU,2001,9.964.575
Low-income countries,0,2001,5.220.483
Lower-middle-income countries,0,2001,6.492.597
Macao,MAC,2001,9.129.537
Middle East and North Africa (WB),0,2001,705.084
Namibia,NAM,2001,8.494.426
Nepal,NPL,2001,4.860.897
Nicaragua,NIC,2001,7.667.713
Niger,NER,2001,1.437.604
Saint Lucia,LCA,2001,90.1
Sao Tome and Principe,STP,2001,8.490.851
Slovenia,SVN,2001,99.6
Somalia,SOM,2001,37.8
South Asia (WB),0,2001,5.809.879
Southern and Eastern Africa (WB),0,2001,6.341.789
Sri Lanka,LKA,2001,9.068.275
Sub-Saharan Africa (WB),0,2001,5.749.454
Ukraine,UKR,2001,9.943.041
Upper-middle-income countries,0,2001,9.118.142
Venezuela,VEN,2001,9.297.983
Western and Central Africa (WB),0,2001,4.876.261
World,OWID_WRL,2001,8.120.433
Algeria,DZA,2002,698.735
Arab World (WB),0,2002,673.602
Barbados,BRB,2002,99.7
Benin,BEN,2002,3.465.785
Chile,CHL,2002,9.571.662
Cuba,CUB,2002,9.979.907
Dominican Republic,DOM,2002,8.699.647
East Asia and the Pacific (WB),0,2002,9.098.892
Eritrea,ERI,2002,5.251.395
Europe and Central Asia (WB),0,2002,9.676.737
Georgia,GEO,2002,9.965.235
Guatemala,GTM,2002,6.910.173
Hong Kong,HKG,2002,93.5
Iran,IRN,2002,77
Japan,JPN,2002,99
Latin America and Caribbean (WB),0,2002,8.929.534
Low-income countries,0,2002,5.286.006
Lower-middle-income countries,0,2002,6.569.058
Mexico,MEX,2002,9.027.465
Middle East and North Africa (WB),0,2002,7.102.652
North Macedonia,MKD,2002,9.612.893
Romania,ROU,2002,9.729.759
Russia,RUS,2002,9.944.097
Senegal,SEN,2002,3.927.525
Seychelles,SYC,2002,9.183.646
South Asia (WB),0,2002,5.920.313
Southern and Eastern Africa (WB),0,2002,6.374.941
Sub-Saharan Africa (WB),0,2002,5.798.504
Syria,SYR,2002,8.288.825
Tanzania,TZA,2002,694.309
Uganda,UGA,2002,6.814.251
Upper-middle-income countries,0,2002,9.145.816
Western and Central Africa (WB),0,2002,4.947.245
World,OWID_WRL,2002,8.157.198
Zambia,ZMB,2002,6.914.922
Arab World (WB),0,2003,6.998.903
Australia,AUS,2003,99
Bahamas,BHS,2003,95.6
Belgium,BEL,2003,99
Botswana,BWA,2003,8.118.871
Burkina Faso,BFA,2003,2.182.292
Canada,CAN,2003,99
Denmark,DNK,2003,99
Djibouti,DJI,2003,67.9
Dominica,DMA,2003,94
East Asia and the Pacific (WB),0,2003,9.135.197
Europe and Central Asia (WB),0,2003,9.686.625
Fiji,FJI,2003,93.7
France,FRA,2003,99
Germany,DEU,2003,99
Grenada,GRD,2003,96
Guinea,GIN,2003,2.970.402
Haiti,HTI,2003,587.439
Iceland,ISL,2003,99
Ireland,IRL,2003,99
Jordan,JOR,2003,8.989.232
Latin America and Caribbean (WB),0,2003,9.008.651
Low-income countries,0,2003,5.304.443
Lower-middle-income countries,0,2003,6.675.361
Mali,MLI,2003,24
Middle East and North Africa (WB),0,2003,7.409.117
Monaco,MCO,2003,99
Montenegro,MNE,2003,9.777.346
Mozambique,MOZ,2003,4.815.884
Netherlands,NLD,2003,99
New Zealand,NZL,2003,99
Nigeria,NGA,2003,5.477.318
North America (WB),0,2003,9.857.133
Oman,OMN,2003,8.136.331
Philippines,PHL,2003,9.259.069
Saint Kitts and Nevis,KNA,2003,97.8
Serbia,SRB,2003,9.639.724
South Asia (WB),0,2003,6.009.578
Southern and Eastern Africa (WB),0,2003,643.503
Sub-Saharan Africa (WB),0,2003,5.834.713
Sweden,SWE,2003,99
Switzerland,CHE,2003,99
Taiwan,TWN,2003,96.1
United Kingdom,GBR,2003,99
United States,USA,2003,99
Upper-middle-income countries,0,2003,9.186.902
Western and Central Africa (WB),0,2003,4.947.437
World,OWID_WRL,2003,8.206.556
Arab World (WB),0,2004,7.057.378
Brazil,BRA,2004,8.861.624
Cambodia,KHM,2004,7.360.995
Cape Verde,CPV,2004,8.001.972
Chad,TCD,2004,2.838.143
Colombia,COL,2004,9.280.378
East Asia and the Pacific (WB),0,2004,9.169.667
El Salvador,SLV,2004,8.077.836
Ethiopia,ETH,2004,35.9
Europe and Central Asia (WB),0,2004,9.694.808
Gabon,GAB,2004,8.184.552
Hungary,HUN,2004,9.902.922
Indonesia,IDN,2004,9.038.479
Israel,ISR,2004,97.1
Latin America and Caribbean (WB),0,2004,9.002.801
Liberia,LBR,2004,4.310.837
Libya,LBY,2004,8.541.682
Low-income countries,0,2004,5.450.513
Lower-middle-income countries,0,2004,6.748.014
Mexico,MEX,2004,9.095.374
Middle East and North Africa (WB),0,2004,747.003
Morocco,MAR,2004,5.230.626
North America (WB),0,2004,9.858.384
Palau,PLW,2004,969.898
Palestine,PSE,2004,9.247.751
Peru,PER,2004,8.766.985
Poland,POL,2004,9.961.794
Puerto Rico,PRI,2004,9.052.934
Qatar,QAT,2004,8.896.239
Samoa,WSM,2004,9.854.048
Saudi Arabia,SAU,2004,8.285.774
Sierra Leone,SLE,2004,3.482.679
Slovakia,SVK,2004,99.6
Slovenia,SVN,2004,9.965.179
South Asia (WB),0,2004,6.087.617
Southern and Eastern Africa (WB),0,2004,6.560.042
Spain,ESP,2004,9.716.512
Sub-Saharan Africa (WB),0,2004,5.986.667
Suriname,SUR,2004,8.959.806
Syria,SYR,2004,8.084.452
Trinidad and Tobago,TTO,2004,9.828.851
Tunisia,TUN,2004,74.297
Turkey,TUR,2004,8.736.549
Upper-middle-income countries,0,2004,9.212.041
Vanuatu,VUT,2004,78.4
Western and Central Africa (WB),0,2004,5.138.341
World,OWID_WRL,2004,8.243.894
Yemen,YEM,2004,54.1
Arab World (WB),0,2005,7.023.333
Bermuda,BMU,2005,98
Bhutan,BTN,2005,5.281.469
Burkina Faso,BFA,2005,235.222
Colombia,COL,2005,9.284.866
Congo,COG,2005,7.611.479
East Asia and the Pacific (WB),0,2005,9.201.266
Egypt,EGY,2005,6.733.187
Ethiopia,ETH,2005,2.982.034
Europe and Central Asia (WB),0,2005,9.711.324
Iran,IRN,2005,824.412
Jordan,JOR,2005,9.113.075
Kuwait,KWT,2005,9.327.446
Laos,LAO,2005,7.270.226
Latin America and Caribbean (WB),0,2005,9.051.114
Low-income countries,0,2005,5.367.301
Lower-middle-income countries,0,2005,6.713.873
Madagascar,MDG,2005,5.893.594
Malta,MLT,2005,9.236.309
Mexico,MEX,2005,9.163.027
Middle East and North Africa (WB),0,2005,7.446.502
Nicaragua,NIC,2005,7.800.298
Niger,NER,2005,2.867.242
North America (WB),0,2005,9.860.252
Pakistan,PAK,2005,4.987.364
Peru,PER,2005,8.790.867
South Asia (WB),0,2005,6.062.967
Southern and Eastern Africa (WB),0,2005,6.394.247
Spain,ESP,2005,9.775.069
Sub-Saharan Africa (WB),0,2005,5.889.574
Thailand,THA,2005,9.350.647
Turkey,TUR,2005,8.822.906
Turkmenistan,TKM,2005,99.4
United Arab Emirates,ARE,2005,9.003.385
Upper-middle-income countries,0,2005,9.244.411
Virgin Islands,0,2005,90
Western and Central Africa (WB),0,2005,5.142.382
World,OWID_WRL,2005,8.237.777
Algeria,DZA,2006,7.264.868
Arab World (WB),0,2006,6.912.741
Benin,BEN,2006,2.870.211
Brazil,BRA,2006,8.961.523
Burkina Faso,BFA,2006,2.247.258
Colombia,COL,2006,9.229.968
East Asia and the Pacific (WB),0,2006,9.241.628
Egypt,EGY,2006,6.636.991
El Salvador,SLV,2006,8.355.946
Europe and Central Asia (WB),0,2006,9.714.116
Haiti,HTI,2006,4.868.502
India,IND,2006,6.275.447
Indonesia,IDN,2006,9.198.227
Iran,IRN,2006,8.233.132
Kuwait,KWT,2006,9.328.212
Latin America and Caribbean (WB),0,2006,9.046.458
Low-income countries,0,2006,5.202.352
Lower-middle-income countries,0,2006,6.742.352
Macao,MAC,2006,9.349.975
Maldives,MDV,2006,983.979
Mali,MLI,2006,2.617.655
Mexico,MEX,2006,9.173.452
Middle East and North Africa (WB),0,2006,7.454.419
New Caledonia,NCL,2006,97.3
Nigeria,NGA,2006,7.019.835
North America (WB),0,2006,9.861.302
Pakistan,PAK,2006,5.415.121
Palestine,PSE,2006,9.345.087
Peru,PER,2006,8.869.934
Senegal,SEN,2006,4.189.115
South Asia (WB),0,2006,6.016.197
Southern and Eastern Africa (WB),0,2006,6.213.387
Spain,ESP,2006,9.775.214
Sri Lanka,LKA,2006,9.080.883
Sub-Saharan Africa (WB),0,2006,6.025.526
Togo,TGO,2006,5.688.837
Tonga,TON,2006,9.901.846
Turkey,TUR,2006,8.811.939
Uganda,UGA,2006,7.137.314
Upper-middle-income countries,0,2006,9.273.255
Uruguay,URY,2006,9.778.963
Western and Central Africa (WB),0,2006,5.747.115
World,OWID_WRL,2006,8.246.365
Arab World (WB),0,2007,6.987.659
Azerbaijan,AZE,2007,9.959.319
Bangladesh,BGD,2007,466.636
Bolivia,BOL,2007,9.074.347
Brazil,BRA,2007,9.000.937
Burkina Faso,BFA,2007,2.829.366
Cameroon,CMR,2007,7.067.994
Cayman Islands,CYM,2007,9.886.782
Colombia,COL,2007,9.265.179
Democratic Republic of Congo,COD,2007,6.120.555
Dominican Republic,DOM,2007,8.824.446
East Asia and the Pacific (WB),0,2007,9.344.074
East Timor,TLS,2007,50.6
Ecuador,ECU,2007,9.209.679
El Salvador,SLV,2007,8.202.863
Ethiopia,ETH,2007,3.899.598
Europe and Central Asia (WB),0,2007,9.724.182
Honduras,HND,2007,8.358.899
Jordan,JOR,2007,9.219.958
Kenya,KEN,2007,7.215.703
Kosovo,OWID_KOS,2007,91.9
Kuwait,KWT,2007,9.366.419
Latin America and Caribbean (WB),0,2007,9.107.581
Lebanon,LBN,2007,8.961.244
Liberia,LBR,2007,4.294.108
Low-income countries,0,2007,5.335.608
Lower-middle-income countries,0,2007,6.774.212
Mauritania,MRT,2007,4.550.378
Mexico,MEX,2007,9.279.517
Middle East and North Africa (WB),0,2007,7.523.202
Namibia,NAM,2007,7.648.659
North America (WB),0,2007,986.258
Pakistan,PAK,2007,5.213.683
Palestine,PSE,2007,937.617
Paraguay,PRY,2007,9.455.822
Peru,PER,2007,8.959.081
Qatar,QAT,2007,9.308.255
South Africa,ZAF,2007,8.871.725
South Asia (WB),0,2007,6.170.198
Southern and Eastern Africa (WB),0,2007,6.283.576
Spain,ESP,2007,9.793.884
Sub-Saharan Africa (WB),0,2007,5.771.746
Tunisia,TUN,2007,771.904
Turkey,TUR,2007,886.559
Upper-middle-income countries,0,2007,9.357.468
Uruguay,URY,2007,9.786.389
Venezuela,VEN,2007,9.515.464
Western and Central Africa (WB),0,2007,5.011.955
World,OWID_WRL,2007,8.292.806
Zambia,ZMB,2007,6.112.709
Albania,ALB,2008,9.593.864
Algeria,DZA,2008,7.513.605
Arab World (WB),0,2008,7.067.663
Bolivia,BOL,2008,9.069.811
Brazil,BRA,2008,9.003.662
Burundi,BDI,2008,4.808.406
Cambodia,KHM,2008,7.687.129
Chile,CHL,2008,9.864.901
Colombia,COL,2008,9.337.818
East Asia and the Pacific (WB),0,2008,9.372.558
Ecuador,ECU,2008,9.239.005
El Salvador,SLV,2008,839.513
Eritrea,ERI,2008,6.466.297
Europe and Central Asia (WB),0,2008,9.735.377
Indonesia,IDN,2008,921.923
Iran,IRN,2008,829.623
Kuwait,KWT,2008,938.983
Latin America and Caribbean (WB),0,2008,9.132.739
Low-income countries,0,2008,541.951
Lower-middle-income countries,0,2008,6.838.011
Mexico,MEX,2008,929.256
Middle East and North Africa (WB),0,2008,7.584.242
Morocco,MAR,2008,5.514.792
Nigeria,NGA,2008,5.107.766
North America (WB),0,2008,9.864.645
North Korea,PRK,2008,9.999.819
Oman,OMN,2008,8.662.114
Pakistan,PAK,2008,5.552.637
Palestine,PSE,2008,9.400.984
Paraguay,PRY,2008,9.329.208
Philippines,PHL,2008,954.201
Qatar,QAT,2008,9.398.973
Sao Tome and Principe,STP,2008,6.953.639
South Asia (WB),0,2008,6.279.358
South Korea,KOR,2008,9.796.594
South Sudan,SSD,2008,2.683.128
Southern and Eastern Africa (WB),0,2008,6.330.951
Spain,ESP,2008,9.763.061
Sri Lanka,LKA,2008,9.055.795
Sub-Saharan Africa (WB),0,2008,5.788.128
Sudan,SDN,2008,5.351.738
Suriname,SUR,2008,9.462.094
Tunisia,TUN,2008,7.771.462
Upper-middle-income countries,0,2008,9.385.072
Uruguay,URY,2008,9.816.356
Western and Central Africa (WB),0,2008,4.981.004
World,OWID_WRL,2008,8.325.666
Arab World (WB),0,2009,6.958.039
Azerbaijan,AZE,2009,9.975.984
Belarus,BLR,2009,9.961.706
Bolivia,BOL,2009,9.116.783
Brazil,BRA,2009,9.029.821
Cambodia,KHM,2009,7.613.796
Chile,CHL,2009,9.855.368
Colombia,COL,2009,9.324.469
East Asia and the Pacific (WB),0,2009,9.402.799
Ecuador,ECU,2009,9.224.976
El Salvador,SLV,2009,8.410.289
Europe and Central Asia (WB),0,2009,9.741.368
Greece,GRC,2009,9.390.511
Guyana,GUY,2009,8.499.401
Indonesia,IDN,2009,925.817
Kazakhstan,KAZ,2009,9.973.241
Kyrgyzstan,KGZ,2009,9.924.343
Latin America and Caribbean (WB),0,2009,9.159.747
Lebanon,LBN,2009,9.118.419
Lesotho,LSO,2009,758.002
Low-income countries,0,2009,5.465.457
Lower-middle-income countries,0,2009,6.918.902
Madagascar,MDG,2009,6.448.091
Mexico,MEX,2009,9.344.188
Middle East and North Africa (WB),0,2009,7.586.177
Morocco,MAR,2009,5.608.367
Mozambique,MOZ,2009,5.058.381
Pakistan,PAK,2009,5.489.264
Palestine,PSE,2009,9.443.018
Paraguay,PRY,2009,9.375.424
Qatar,QAT,2009,9.472.429
Senegal,SEN,2009,4.803.678
South Africa,ZAF,2009,9.289.486
South Asia (WB),0,2009,6.346.568
Southern and Eastern Africa (WB),0,2009,6.400.042
Spain,ESP,2009,9.767.927
Sub-Saharan Africa (WB),0,2009,5.865.356
Togo,TGO,2009,5.709.338
Turkey,TUR,2009,9.081.672
Upper-middle-income countries,0,2009,9.393.437
Uruguay,URY,2009,9.826.723
Venezuela,VEN,2009,9.551.199
Vietnam,VNM,2009,9.352.045
Western and Central Africa (WB),0,2009,5.069.238
World,OWID_WRL,2009,835.132
Arab World,0,2010,77.364.586
Arab World (WB),0,2010,7.051.842
Aruba,ABW,2010,9.682.264
Azerbaijan,AZE,2010,9.977.114
Bahrain,BHR,2010,9.455.679
Brazil,BRA,2010,9.037.918
Cameroon,CMR,2010,7.129.051
Caribbean small states,0,2010,9.176.071
Central African Republic,CAF,2010,3.675.261
Central Europe and the Baltics,0,2010,9.936.096
China,CHN,2010,9.512.448
Colombia,COL,2010,9.337.233
Dominican Republic,DOM,2010,8.953.873
Early-demographic dividend,0,2010,7.650.836
East Asia & Pacific,0,2010,9.510.822
East Asia & Pacific (IDA & IBRD),0,2010,9.468.925
East Asia & Pacific (excluding high income),0,2010,9.475.167
East Asia and the Pacific (WB),0,2010,9.412.464
East Timor,TLS,2010,5.830.898
Ecuador,ECU,2010,9.185.404
Egypt,EGY,2010,7.204.785
El Salvador,SLV,2010,8.449.272
Equatorial Guinea,GNQ,2010,9.437.054
Eswatini,SWZ,2010,8.309.829
Europe & Central Asia,0,2010,9.899.759
Europe & Central Asia (IDA & IBRD),0,2010,9.889.095
Europe & Central Asia (excluding high income),0,2010,9.879.964
Europe and Central Asia (WB),0,2010,9.774.728
Fragile and conflict affected situations,0,2010,6.833.667
Ghana,GHA,2010,7.149.707
Guinea,GIN,2010,2.530.774
Heavily indebted poor countries (HIPC),0,2010,57.837.166
Honduras,HND,2010,8.475.536
IBRD only,0,2010,8.732.906
IDA & IBRD total,0,2010,8.239.069
IDA blend,0,2010,69.031.975
IDA only,0,2010,61.650.894
IDA total,0,2010,6.443.312
Jordan,JOR,2010,9.255.104
Kazakhstan,KAZ,2010,9.978.163
Kuwait,KWT,2010,9.446.901
Late-demographic dividend,0,2010,9.478.494
Latin America & Caribbean,0,2010,9.262.431
Latin America & Caribbean (IDA & IBRD),0,2010,924.664
Latin America & Caribbean (excluding high income),0,2010,9.244.799
Latin America and Caribbean (WB),0,2010,9.158.735
Least developed countries: UN classification,0,2010,60.568.233
Low income,0,2010,5.657.406
Low-income countries,0,2010,5.508.571
Lower middle income,0,2010,7.391.008
Lower-middle-income countries,0,2010,7.093.375
Malawi,MWI,2010,6.130.972
Malaysia,MYS,2010,9.311.789
Mali,MLI,2010,3.109.975
Mexico,MEX,2010,9.306.894
Middle East & North Africa,0,2010,80.750.015
Middle East & North Africa (IDA & IBRD),0,2010,7.823.286
Middle East & North Africa (excluding high income),0,2010,7.843.881
Middle East and North Africa (WB),0,2010,7.666.655
Middle income,0,2010,8.438.868
Mongolia,MNG,2010,98.257
Oman,OMN,2010,86.939
Other small states,0,2010,8.364.996
Pakistan,PAK,2010,5.537.519
Palestine,PSE,2010,9.471.748
Panama,PAN,2010,9.409.412
Papua New Guinea,PNG,2010,61.6
Paraguay,PRY,2010,9.387.092
Pre-demographic dividend,0,2010,58.624.794
Puerto Rico,PRI,2010,9.196.523
Qatar,QAT,2010,9.628.374
Russia,RUS,2010,9.968.427
Rwanda,RWA,2010,6.585.227
